indx,T,PE,rU,nSi,nC,nacc_insSi,nacc_delSi,nacc_insC,nacc_delC,GammaO,Eslab,EbulkAgO,EbulkO,Phi,A
1,,-2402.0692,,128,128,0,0,0,0,0,0,0,0,0,5
2,,-2401.8799,,128,128,0,0,0,0,0,0,0,0,0,5
3,,-2401.7938,,128,128,0,0,0,0,0,0,0,0,0,5
4,,-2401.6785,,128,128,0,0,0,0,0,0,0,0,0,5
5,,-2401.8591,,128,128,0,0,0,0,0,0,0,0,0,5
6,,-2402.0289,,128,128,0,0,0,0,0,0,0,0,0,5
7,,-2402.1528,,128,128,0,0,0,0,0,0,0,0,0,5
8,,-2402.2158,,128,128,0,0,0,0,0,0,0,0,0,5
9,,-2402.25,,128,128,0,0,0,0,0,0,0,0,0,5
10,,-2401.9769,,128,128,0,0,0,0,0,0,0,0,0,5
11,,-2401.8274,,128,128,0,0,0,0,0,0,0,0,0,5
12,,-2401.5846,,128,128,0,0,0,0,0,0,0,0,0,5
13,,-2401.4315,,128,128,0,0,0,0,0,0,0,0,0,5
14,,-2401.3015,,128,128,0,0,0,0,0,0,0,0,0,5
15,,-2401.2487,,128,128,0,0,0,0,0,0,0,0,0,5
16,,-2401.3416,,128,128,0,0,0,0,0,0,0,0,0,5
17,,-2401.6315,,128,128,0,0,0,0,0,0,0,0,0,5
18,,-2401.8234,,128,128,0,0,0,0,0,0,0,0,0,5
19,,-2402.2215,,128,128,0,0,0,0,0,0,0,0,0,5
20,,-2402.4267,,128,128,0,0,0,0,0,0,0,0,0,5
21,,-2402.6343,,128,128,0,0,0,0,0,0,0,0,0,5
22,,-2402.5971,,128,128,0,0,0,0,0,0,0,0,0,5
23,,-2402.4759,,128,128,0,0,0,0,0,0,0,0,0,5
24,,-2402.2254,,128,128,0,0,0,0,0,0,0,0,0,5
25,,-2401.8952,,128,128,0,0,0,0,0,0,0,0,0,5
26,,-2401.6417,,128,128,0,0,0,0,0,0,0,0,0,5
27,,-2401.2765,,128,128,0,0,0,0,0,0,0,0,0,5
28,,-2401.0138,,128,128,0,0,0,0,0,0,0,0,0,5
29,,-2400.8025,,128,128,0,0,0,0,0,0,0,0,0,5
30,,-2400.7138,,128,128,0,0,0,0,0,0,0,0,0,5
31,,-2400.8485,,128,128,0,0,0,0,0,0,0,0,0,5
32,,-2400.97,,128,128,0,0,0,0,0,0,0,0,0,5
33,,-2400.954,,128,128,0,0,0,0,0,0,0,0,0,5
34,,-2401.1233,,128,128,0,0,0,0,0,0,0,0,0,5
35,,-2401.2827,,128,128,0,0,0,0,0,0,0,0,0,5
36,,-2401.3463,,128,128,0,0,0,0,0,0,0,0,0,5
37,,-2401.4728,,128,128,0,0,0,0,0,0,0,0,0,5
38,,-2401.6525,,128,128,0,0,0,0,0,0,0,0,0,5
39,,-2401.8619,,128,128,0,0,0,0,0,0,0,0,0,5
40,,-2401.8156,,128,128,0,0,0,0,0,0,0,0,0,5
41,,-2401.6674,,128,128,0,0,0,0,0,0,0,0,0,5
42,,-2401.2589,,128,128,0,0,0,0,0,0,0,0,0,5
43,,-2401.186,,128,128,0,0,0,0,0,0,0,0,0,5
44,,-2407.9554,,128,129,0,0,1,0,0,0,0,0,0,5
45,,-2409.2391,,128,129,0,0,1,0,0,0,0,0,0,5
46,,-2410.2313,,128,129,0,0,1,0,0,0,0,0,0,5
47,,-2410.7791,,128,129,0,0,1,0,0,0,0,0,0,5
48,,-2411.0665,,128,129,0,0,1,0,0,0,0,0,0,5
49,,-2411.0908,,128,129,0,0,1,0,0,0,0,0,0,5
50,,-2411.0155,,128,129,0,0,1,0,0,0,0,0,0,5
51,,-2410.935,,128,129,0,0,1,0,0,0,0,0,0,5
52,,-2410.7595,,128,129,0,0,1,0,0,0,0,0,0,5
53,,-2410.6923,,128,129,0,0,1,0,0,0,0,0,0,5
54,,-2410.4781,,128,129,0,0,1,0,0,0,0,0,0,5
55,,-2410.0059,,128,129,0,0,1,0,0,0,0,0,0,5
56,,-2409.4875,,128,129,0,0,1,0,0,0,0,0,0,5
57,,-2409.3289,,128,129,0,0,1,0,0,0,0,0,0,5
58,,-2409.557,,128,129,0,0,1,0,0,0,0,0,0,5
59,,-2409.701,,128,129,0,0,1,0,0,0,0,0,0,5
60,,-2409.8845,,128,129,0,0,1,0,0,0,0,0,0,5
61,,-2410.1075,,128,129,0,0,1,0,0,0,0,0,0,5
62,,-2410.2163,,128,129,0,0,1,0,0,0,0,0,0,5
63,,-2410.7424,,128,129,0,0,1,0,0,0,0,0,0,5
64,,-2411.1874,,128,129,0,0,1,0,0,0,0,0,0,5
65,,-2411.5942,,128,129,0,0,1,0,0,0,0,0,0,5
66,,-2411.7655,,128,129,0,0,1,0,0,0,0,0,0,5
67,,-2411.817,,128,129,0,0,1,0,0,0,0,0,0,5
68,,-2411.851,,128,129,0,0,1,0,0,0,0,0,0,5
69,,-2411.7029,,128,129,0,0,1,0,0,0,0,0,0,5
70,,-2411.5655,,128,129,0,0,1,0,0,0,0,0,0,5
71,,-2411.4545,,128,129,0,0,1,0,0,0,0,0,0,5
72,,-2411.2534,,128,129,0,0,1,0,0,0,0,0,0,5
73,,-2410.9373,,128,129,0,0,1,0,0,0,0,0,0,5
74,,-2410.7611,,128,129,0,0,1,0,0,0,0,0,0,5
75,,-2410.7184,,128,129,0,0,1,0,0,0,0,0,0,5
76,,-2410.7638,,128,129,0,0,1,0,0,0,0,0,0,5
77,,-2410.7785,,128,129,0,0,1,0,0,0,0,0,0,5
78,,-2410.503,,128,129,0,0,1,0,0,0,0,0,0,5
79,,-2410.5076,,128,129,0,0,1,0,0,0,0,0,0,5
80,,-2410.2123,,128,129,0,0,1,0,0,0,0,0,0,5
81,,-2409.8503,,128,129,0,0,1,0,0,0,0,0,0,5
82,,-2409.6739,,128,129,0,0,1,0,0,0,0,0,0,5
83,,-2409.5396,,128,129,0,0,1,0,0,0,0,0,0,5
84,,-2409.4897,,128,129,0,0,1,0,0,0,0,0,0,5
85,,-2409.4894,,128,129,0,0,1,0,0,0,0,0,0,5
86,,-2409.4383,,128,129,0,0,1,0,0,0,0,0,0,5
87,,-2409.2892,,128,129,0,0,1,0,0,0,0,0,0,5
88,,-2409.1926,,128,129,0,0,1,0,0,0,0,0,0,5
89,,-2409.2428,,128,129,0,0,1,0,0,0,0,0,0,5
90,,-2409.1836,,128,129,0,0,1,0,0,0,0,0,0,5
91,,-2415.7683,,128,130,0,0,2,0,0,0,0,0,0,5
92,,-2415.7503,,128,130,0,0,2,0,0,0,0,0,0,5
93,,-2416.2359,,128,130,0,0,2,0,0,0,0,0,0,5
94,,-2416.0504,,128,130,0,0,2,0,0,0,0,0,0,5
95,,-2415.5497,,128,130,0,0,2,0,0,0,0,0,0,5
96,,-2415.4714,,128,130,0,0,2,0,0,0,0,0,0,5
97,,-2415.7002,,128,130,0,0,2,0,0,0,0,0,0,5
98,,-2415.8249,,128,130,0,0,2,0,0,0,0,0,0,5
99,,-2415.9855,,128,130,0,0,2,0,0,0,0,0,0,5
100,,-2416.2658,,128,130,0,0,2,0,0,0,0,0,0,5
101,,-2416.4568,,128,130,0,0,2,0,0,0,0,0,0,5
102,,-2416.5737,,128,130,0,0,2,0,0,0,0,0,0,5
103,,-2416.8548,,128,130,0,0,2,0,0,0,0,0,0,5
104,,-2417.0616,,128,130,0,0,2,0,0,0,0,0,0,5
105,,-2417.3516,,128,130,0,0,2,0,0,0,0,0,0,5
106,,-2417.2386,,128,130,0,0,2,0,0,0,0,0,0,5
107,,-2417.1538,,128,130,0,0,2,0,0,0,0,0,0,5
108,,-2417.095,,128,130,0,0,2,0,0,0,0,0,0,5
109,,-2416.9552,,128,130,0,0,2,0,0,0,0,0,0,5
110,,-2416.9373,,128,130,0,0,2,0,0,0,0,0,0,5
111,,-2417.2018,,128,130,0,0,2,0,0,0,0,0,0,5
112,,-2417.5821,,128,130,0,0,2,0,0,0,0,0,0,5
113,,-2417.511,,128,130,0,0,2,0,0,0,0,0,0,5
114,,-2417.9049,,128,130,0,0,2,0,0,0,0,0,0,5
115,,-2417.7607,,128,130,0,0,2,0,0,0,0,0,0,5
116,,-2417.7088,,128,130,0,0,2,0,0,0,0,0,0,5
117,,-2417.9577,,128,130,0,0,2,0,0,0,0,0,0,5
118,,-2417.9058,,128,130,0,0,2,0,0,0,0,0,0,5
119,,-2418.0799,,128,130,0,0,2,0,0,0,0,0,0,5
120,,-2418.1374,,128,130,0,0,2,0,0,0,0,0,0,5
121,,-2417.9668,,128,130,0,0,2,0,0,0,0,0,0,5
122,,-2418.0249,,128,130,0,0,2,0,0,0,0,0,0,5
123,,-2418.2066,,128,130,0,0,2,0,0,0,0,0,0,5
124,,-2418.3284,,128,130,0,0,2,0,0,0,0,0,0,5
125,,-2418.2901,,128,130,0,0,2,0,0,0,0,0,0,5
126,,-2418.0723,,128,130,0,0,2,0,0,0,0,0,0,5
127,,-2418.0256,,128,130,0,0,2,0,0,0,0,0,0,5
128,,-2417.8753,,128,130,0,0,2,0,0,0,0,0,0,5
129,,-2418.0008,,128,130,0,0,2,0,0,0,0,0,0,5
130,,-2418.0556,,128,130,0,0,2,0,0,0,0,0,0,5
131,,-2417.9892,,128,130,0,0,2,0,0,0,0,0,0,5
132,,-2418.099,,128,130,0,0,2,0,0,0,0,0,0,5
133,,-2417.994,,128,130,0,0,2,0,0,0,0,0,0,5
134,,-2418.0428,,128,130,0,0,2,0,0,0,0,0,0,5
135,,-2418.0672,,128,130,0,0,2,0,0,0,0,0,0,5
136,,-2418.0699,,128,130,0,0,2,0,0,0,0,0,0,5
137,,-2417.8317,,128,130,0,0,2,0,0,0,0,0,0,5
138,,-2418.0213,,128,130,0,0,2,0,0,0,0,0,0,5
139,,-2418.1678,,128,130,0,0,2,0,0,0,0,0,0,5
140,,-2418.1816,,128,130,0,0,2,0,0,0,0,0,0,5
141,,-2418.258,,128,130,0,0,2,0,0,0,0,0,0,5
142,,-2418.349,,128,130,0,0,2,0,0,0,0,0,0,5
143,,-2418.2957,,128,130,0,0,2,0,0,0,0,0,0,5
144,,-2418.2598,,128,130,0,0,2,0,0,0,0,0,0,5
