indx,T,PE,rU,nSi,nC,nacc_insSi,nacc_delSi,nacc_insC,nacc_delC,GammaO,Eslab,EbulkAgO,EbulkO,Phi,A,redPot
1,500.0,-436.42597,,38,38,0,0,0,0,,,,,,,29.208918
2,1867.0599,-449.77931,,38,38,0,0,0,0,,,,,,,15.855582
3,3227.2706,-464.55782,,38,38,0,0,0,0,,,,,,,1.0770674
4,3375.9678,-470.20822,,38,38,0,0,0,0,,,,,,,-4.5733269
5,3073.971,-465.58076,,37,38,0,1,0,0,,,,,,,-6.050094
6,2534.2332,-463.71455,,37,38,0,1,0,0,,,,,,,-4.1838867
7,2259.1537,-464.12685,,37,38,0,1,0,0,,,,,,,-4.5961853
8,2050.4147,-464.97104,,37,38,0,1,0,0,,,,,,,-5.4403743
9,1862.7079,-465.74419,,37,38,0,1,0,0,,,,,,,-6.2135294
10,1700.2886,-466.49485,,37,38,0,1,0,0,,,,,,,-6.9641815
11,1557.3092,-467.19481,,37,38,0,1,0,0,,,,,,,-7.664147
12,1420.1265,-467.73223,,37,38,0,1,0,0,,,,,,,-8.201568
13,1266.5052,-467.88181,,37,38,0,1,0,0,,,,,,,-8.3511479
14,1128.8831,-467.95,,37,38,0,1,0,0,,,,,,,-8.4193376
15,1024.4146,-468.13948,,37,38,0,1,0,0,,,,,,,-8.6088201
16,948.28589,-468.4521,,37,38,0,1,0,0,,,,,,,-8.9214377
17,892.54291,-468.85032,,37,38,0,1,0,0,,,,,,,-9.319659
18,851.4039,-469.3063,,37,38,0,1,0,0,,,,,,,-9.7756324
19,819.93702,-469.79265,,37,38,0,1,0,0,,,,,,,-10.26199
20,802.69898,-465.2358,,37,37,0,1,0,1,,,,,,,-11.854456
21,788.47842,-465.80379,,37,37,0,1,0,1,,,,,,,-12.422455
22,791.78826,-466.51924,,37,37,0,1,0,1,,,,,,,-13.137899
23,815.80025,-467.43545,,37,37,0,1,0,1,,,,,,,-14.054109
24,846.73145,-468.44526,,37,37,0,1,0,1,,,,,,,-15.06392
25,841.77091,-469.13935,,37,37,0,1,0,1,,,,,,,-15.75801
26,815.41917,-469.6189,,37,37,0,1,0,1,,,,,,,-16.237566
27,795.28558,-470.13305,,37,37,0,1,0,1,,,,,,,-16.751713
28,786.7181,-470.73673,,37,37,0,1,0,1,,,,,,,-17.35539
29,787.53979,-471.41987,,37,37,0,1,0,1,,,,,,,-18.038531
